id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
1495,"Justin Champagnie",2025-10-30,OKC,0,pra,1.0,
1498,"Justin Champagnie",2025-10-30,OKC,0,ra,1.0,
1493,"Justin Champagnie",2025-10-30,OKC,0,rebounds,1.0,
1501,"Justin Champagnie",2025-10-28,PHI,1,assists,0.0,
1504,"Justin Champagnie",2025-10-28,PHI,1,pa,0.0,
1499,"Justin Champagnie",2025-10-28,PHI,1,points,0.0,
1503,"Justin Champagnie",2025-10-28,PHI,1,pr,0.0,
1502,"Justin Champagnie",2025-10-28,PHI,1,pra,0.0,
1505,"Justin Champagnie",2025-10-28,PHI,1,ra,0.0,
1500,"Justin Champagnie",2025-10-28,PHI,1,rebounds,0.0,
1508,"Justin Champagnie",2025-10-26,CHA,1,assists,0.0,
1511,"Justin Champagnie",2025-10-26,CHA,1,pa,4.0,
1506,"Justin Champagnie",2025-10-26,CHA,1,points,4.0,
1510,"Justin Champagnie",2025-10-26,CHA,1,pr,7.0,
1509,"Justin Champagnie",2025-10-26,CHA,1,pra,7.0,
1512,"Justin Champagnie",2025-10-26,CHA,1,ra,3.0,
1507,"Justin Champagnie",2025-10-26,CHA,1,rebounds,3.0,
1515,"Justin Champagnie",2025-10-22,MIL,0,assists,1.0,
1518,"Justin Champagnie",2025-10-22,MIL,0,pa,1.0,
1513,"Justin Champagnie",2025-10-22,MIL,0,points,0.0,
1517,"Justin Champagnie",2025-10-22,MIL,0,pr,3.0,
1516,"Justin Champagnie",2025-10-22,MIL,0,pra,4.0,
1519,"Justin Champagnie",2025-10-22,MIL,0,ra,4.0,
1514,"Justin Champagnie",2025-10-22,MIL,0,rebounds,3.0,
14493,"Karl-Anthony Towns",2026-02-11,PHI,0,assists,5.0,
14496,"Karl-Anthony Towns",2026-02-11,PHI,0,pa,26.0,
14491,"Karl-Anthony Towns",2026-02-11,PHI,0,points,21.0,
14495,"Karl-Anthony Towns",2026-02-11,PHI,0,pr,32.0,
14494,"Karl-Anthony Towns",2026-02-11,PHI,0,pra,37.0,
14497,"Karl-Anthony Towns",2026-02-11,PHI,0,ra,16.0,
14492,"Karl-Anthony Towns",2026-02-11,PHI,0,rebounds,11.0,
14500,"Karl-Anthony Towns",2026-02-10,IND,1,assists,3.0,
14503,"Karl-Anthony Towns",2026-02-10,IND,1,pa,25.0,
14498,"Karl-Anthony Towns",2026-02-10,IND,1,points,22.0,
14502,"Karl-Anthony Towns",2026-02-10,IND,1,pr,36.0,
14501,"Karl-Anthony Towns",2026-02-10,IND,1,pra,39.0,
14504,"Karl-Anthony Towns",2026-02-10,IND,1,ra,17.0,
14499,"Karl-Anthony Towns",2026-02-10,IND,1,rebounds,14.0,
14507,"Karl-Anthony Towns",2026-02-08,BOS,0,assists,1.0,
14510,"Karl-Anthony Towns",2026-02-08,BOS,0,pa,12.0,
14505,"Karl-Anthony Towns",2026-02-08,BOS,0,points,11.0,
14509,"Karl-Anthony Towns",2026-02-08,BOS,0,pr,21.0,
14508,"Karl-Anthony Towns",2026-02-08,BOS,0,pra,22.0,
14511,"Karl-Anthony Towns",2026-02-08,BOS,0,ra,11.0,
14506,"Karl-Anthony Towns",2026-02-08,BOS,0,rebounds,10.0,
14514,"Karl-Anthony Towns",2026-02-04,DEN,1,assists,1.0,
14517,"Karl-Anthony Towns",2026-02-04,DEN,1,pa,25.0,
14512,"Karl-Anthony Towns",2026-02-04,DEN,1,points,24.0,
14516,"Karl-Anthony Towns",2026-02-04,DEN,1,pr,36.0,
14515,"Karl-Anthony Towns",2026-02-04,DEN,1,pra,37.0,
14518,"Karl-Anthony Towns",2026-02-04,DEN,1,ra,13.0,
14513,"Karl-Anthony Towns",2026-02-04,DEN,1,rebounds,12.0,
14521,"Karl-Anthony Towns",2026-02-03,WAS,0,assists,3.0,
14524,"Karl-Anthony Towns",2026-02-03,WAS,0,pa,22.0,
14519,"Karl-Anthony Towns",2026-02-03,WAS,0,points,19.0,
14523,"Karl-Anthony Towns",2026-02-03,WAS,0,pr,34.0,
14522,"Karl-Anthony Towns",2026-02-03,WAS,0,pra,37.0,
14525,"Karl-Anthony Towns",2026-02-03,WAS,0,ra,18.0,
14520,"Karl-Anthony Towns",2026-02-03,WAS,0,rebounds,15.0,
14528,"Karl-Anthony Towns",2026-02-01,LAL,1,assists,4.0,
14531,"Karl-Anthony Towns",2026-02-01,LAL,1,pa,15.0,
14526,"Karl-Anthony Towns",2026-02-01,LAL,1,points,11.0,
14530,"Karl-Anthony Towns",2026-02-01,LAL,1,pr,24.0,
14529,"Karl-Anthony Towns",2026-02-01,LAL,1,pra,28.0,
14532,"Karl-Anthony Towns",2026-02-01,LAL,1,ra,17.0,
14527,"Karl-Anthony Towns",2026-02-01,LAL,1,rebounds,13.0,
14535,"Karl-Anthony Towns",2026-01-30,POR,1,assists,3.0,
14538,"Karl-Anthony Towns",2026-01-30,POR,1,pa,17.0,
14533,"Karl-Anthony Towns",2026-01-30,POR,1,points,14.0,
14537,"Karl-Anthony Towns",2026-01-30,POR,1,pr,34.0,
14536,"Karl-Anthony Towns",2026-01-30,POR,1,pra,37.0,
14539,"Karl-Anthony Towns",2026-01-30,POR,1,ra,23.0,
14534,"Karl-Anthony Towns",2026-01-30,POR,1,rebounds,20.0,
14542,"Karl-Anthony Towns",2026-01-28,TOR,0,assists,2.0,
14545,"Karl-Anthony Towns",2026-01-28,TOR,0,pa,10.0,
14540,"Karl-Anthony Towns",2026-01-28,TOR,0,points,8.0,
14544,"Karl-Anthony Towns",2026-01-28,TOR,0,pr,30.0,
14543,"Karl-Anthony Towns",2026-01-28,TOR,0,pra,32.0,
14546,"Karl-Anthony Towns",2026-01-28,TOR,0,ra,24.0,
14541,"Karl-Anthony Towns",2026-01-28,TOR,0,rebounds,22.0,
14549,"Karl-Anthony Towns",2026-01-27,SAC,1,assists,4.0,
14552,"Karl-Anthony Towns",2026-01-27,SAC,1,pa,21.0,
14547,"Karl-Anthony Towns",2026-01-27,SAC,1,points,17.0,
